algo,score,metric,type,split,n_var,n_samples,idx_features_used_binary_code,structure,gap_E0_E1,proportion_of_ones
ICP+DT,0.974,accuracy,test,68,3,10000,48,disjunction2,0.25,0.3
ICP+DT,0.97375,accuracy,train,68,3,10000,48,disjunction2,0.25,0.3
ICP+DT,1.0,01 loss,causal,68,3,10000,48,disjunction2,0.25,0.3
ICP+DT,1.714763,t2-t1,fit time,68,3,10000,48,disjunction2,0.25,0.3
