algo,score,metric,type,split,n_var,n_samples,idx_features_used_binary_code,structure,gap_E0_E1,proportion_of_ones
ICSCM,0.9765,accuracy,test,57,3,10000,240,disjunction4,0.25,0.3
ICSCM,0.9765,accuracy,train,57,3,10000,240,disjunction4,0.25,0.3
ICSCM,1.0,01 loss,causal,57,3,10000,240,disjunction4,0.25,0.3
ICSCM,1.019074,t2-t1,fit time,57,3,10000,240,disjunction4,0.25,0.3
