algo,score,metric,type,split,n_var,n_samples,idx_features_used_binary_code,structure,gap_E0_E1,proportion_of_ones
ICSCMdisjunction,0.97,accuracy,test,1,3,10000,16,conjunction1,0.25,0.9
ICSCMdisjunction,0.9759375,accuracy,train,1,3,10000,16,conjunction1,0.25,0.9
ICSCMdisjunction,1.0,01 loss,causal,1,3,10000,16,conjunction1,0.25,0.9
ICSCMdisjunction,0.17275,t2-t1,fit time,1,3,10000,16,conjunction1,0.25,0.9
