algo,score,metric,type,split,n_var,n_samples,idx_features_used_binary_code,structure,gap_E0_E1,proportion_of_ones
SCM,0.981,accuracy,test,79,3,10000,32,disjunction1,0.25,0.3
SCM,0.980625,accuracy,train,79,3,10000,32,disjunction1,0.25,0.3
SCM,0.0,01 loss,causal,79,3,10000,32,disjunction1,0.25,0.3
SCM,0.006126,t2-t1,fit time,79,3,10000,32,disjunction1,0.25,0.3
