algo,score,metric,type,split,n_var,n_samples,idx_features_used_binary_code,structure,gap_E0_E1,proportion_of_ones
DT,0.9895,accuracy,test,62,3,10000,511,disjunction4,0.25,0.3
DT,0.9950625,accuracy,train,62,3,10000,511,disjunction4,0.25,0.3
DT,0.0,01 loss,causal,62,3,10000,511,disjunction4,0.25,0.3
DT,0.005457,t2-t1,fit time,62,3,10000,511,disjunction4,0.25,0.3
